Row#,Name,dwGroup,wTableIndex,Mod1,Mod2,Mod3,wIType1,wIType2,wIType3,wIType4,wIType5,wIType6,wIType7,wEType1,wEType2,wEType3,wEType4,wEType5
56,'of Accuracy',0x10,0x75A,0x8::(0)[7.10],,,0x18,0x2F,0xF,0x10,0xA,0xC,,,,,0xFFFF,0xFFFF
57,'of Precision',0x10,0x75B,0x8::(0)[11.15],,,0x18,0x2F,0xC,,,,,,,,0xFFFF,0xFFFF
58,'of Precision',0x10,0x75B,0x8::(0)[11.15],,,0x32,0xA,,,,,,,,,0xFFFF,0xFFFF
59,'of Perfection',0x10,0x75C,0x8::(0)[16.20],,,0x2F,0x10,0xC,,,,,,,,0xFFFF,0xFFFF
60,'of Balance',0x11,0x75D,0x4F::(0)[10],,,0x32,,,,,,,0x10,,,0xFFFF,0xFFFF
61,'of Stability',0x11,0x75E,0x51::(0)[20],,,0x32,,,,,,,0x10,,,0xFFFF,0xFFFF
63,'of Regeneration',0x13,0x760,0x35::(0)[3],,,0x18,0x13,0xA,0xC,,,,,,,0xFFFF,0xFFFF
64,'of Regeneration',0x13,0x760,0x35::(0)[3],,,0x33,0x10,,,,,,,,,0xFFFF,0xFFFF
65,'of Regeneration',0x13,0x760,0x35::(0)[3],,,0x3,0x25,0x2D,0xF,,,,0x18,,,0xFFFF,0xFFFF
66,'of Regrowth',0x13,0x761,0x35::(0)[5],,,0x18,0xC,,,,,,,,,0xFFFF,0xFFFF
67,'of Regrowth',0x13,0x761,0x35::(0)[5],,,0x13,0xA,,,,,,,,,0xFFFF,0xFFFF
68,'of Vileness',0x14,0x762,0x5E::(0)[1],,,0x2E,,,,,,,0x18,,,0xFFFF,0xFFFF
70,'of Greed',0x16,0x763,0x3A::(0)[40.60],,,0xA,0xC,,,,,,,,,0xFFFF,0xFFFF
71,'of Wealth',0x16,0x764,0x3A::(0)[80.120],,,0xF,0x10,0x13,0xC,,,,,,,0xFFFF,0xFFFF
72,'of Chance',0x17,0x765,0x3B::(0)[10.19],,,0xA,0xC,,,,,,,,,0xFFFF,0xFFFF
73,'of Fortune',0x17,0x766,0x3B::(0)[20.35],,,0xF,0x10,0xC,,,,,,,,0xFFFF,0xFFFF
74,'of Energy',0x18,0x767,0xB::(0)[1],,,0xA,0xC,,,,,,,,,0xFFFF,0xFFFF
75,'of Energy',0x18,0x767,0xB::(0)[1.5],,,0x37,0xA,0xC,,,,,,,,0xFFFF,0xFFFF
76,'of the Mind',0x18,0x768,0xB::(0)[6.10],,,0x37,0xA,0xC,,,,,,,,0xFFFF,0xFFFF
77,'of Brilliance',0x18,0x769,0xB::(0)[11.15],,,0x37,0xA,0xC,,,,,,,,0xFFFF,0xFFFF
78,'of Sorcery',0x18,0x76A,0xB::(0)[16.20],,,0x37,0xC,,,,,,,,,0xFFFF,0xFFFF
79,'of Wizardry',0x18,0x76B,0xB::(0)[21.30],,,0x37,0xA,0xC,,,,,,,,0xFFFF,0xFFFF
80,'of the Bear',0x19,0x76C,0x3C::(0)[1],,,0x2E,,,,,,,,,,0xFFFF,0xFFFF
81,'of Light',0x1A,0x76D,0x49::(0)[1],,,0x32,0x37,0x2F,0xA,0xC,,,,,,0xFFFF,0xFFFF
82,'of Radiance',0x1A,0x76E,0x49::(0)[3],,,0x37,0x2F,0xA,0xC,,,,,,,0xFFFF,0xFFFF
83,'of the Sun',0x1A,0x76F,0x49::(0)[5],,,0x37,0x2F,0x10,0xA,0xC,,,,,,0xFFFF,0xFFFF
84,'of Life',0x1B,0x770,0xD::(0)[5],,,0x3,0x25,0x33,0x13,0xC,,,,,,0xFFFF,0xFFFF
85,'of the Jackal',0x1B,0x771,0xD::(0)[1.5],,,0x32,0x37,0xA,0xC,,,,,,,0xFFFF,0xFFFF
86,'of the Fox',0x1B,0x772,0xD::(0)[5.10],,,0x32,0x37,0xA,0xC,,,,,,,0xFFFF,0xFFFF
87,'of the Wolf',0x1B,0x773,0xD::(0)[11.20],,,0x32,0x37,0xA,0xC,,,,,,,0xFFFF,0xFFFF
88,'of the Wolf',0x1B,0x773,0xD::(0)[11.20],,,0x2D,,,,,,,0x37,,,0xFFFF,0xFFFF
89,'of the Tiger',0x1B,0x774,0xD::(0)[21.30],,,0x32,0xA,0xC,,,,,,,,0xFFFF,0xFFFF
90,'of the Mammoth',0x1B,0x775,0xD::(0)[31.40],,,0x3,0x25,0x33,0xA,0xC,,,,,,0xFFFF,0xFFFF
91,'of the Mammoth',0x1B,0x775,0xD::(0)[31.40],,,0x2E,0x10,0x13,,,,,0x37,,,0xFFFF,0xFFFF
92,'of the Colosuss',0x1B,0x776,0xD::(0)[41.60],,,0x3,0x25,0x33,0x13,0xC,,,,,,0xFFFF,0xFFFF
93,'of the Leech',0x1C,0x777,0x42::(0)[4.7],,,0x2D,0xA,0xC,,,,,,,,0xFFFF,0xFFFF
94,'of the Locust',0x1C,0x778,0x42::(0)[8.10],,,0x2E,,,,,,,,,,0xFFFF,0xFFFF
95,'of the Bat',0x1D,0x779,0x41::(0)[4.8],,,0x2D,0xA,0xC,,,,,,,,0xFFFF,0xFFFF
96,'of the Vampire',0x1D,0x77A,0x41::(0)[9.12],,,0x2E,,,,,,,,,,0xFFFF,0xFFFF
97,'of Defiance',0x1E,0x77B,0x58::(0)[75],,,0x3,0x25,0x33,0xC,,,,,,,0xFFFF,0xFFFF
98,'of Amelioration',0x1E,0x77D,0x58::(0)[50],,,0x3,0x25,0x33,0xC,,,,,,,0xFFFF,0xFFFF
99,'of Remedy',0x1E,0x77C,0x58::(0)[25],,,0x32,0xA,0xC,,,,,,,,0xFFFF,0xFFFF
101,'of Simplicity',0x20,0x77F,0x4B::(0)[4294967256],,,0x3,0x25,0x2D,0x33,,,,0x37,,,0xFFFF,0xFFFF
102,'of Ease',0x20,0x780,0x4B::(0)[4294967276],,,0x3,0x25,0x2D,0x33,,,,0x37,,,0xFFFF,0xFFFF
104,'of Strength',0x22,0x782,0x7::(0)[1.3],,,0x13,0xA,0xC,,,,,,,,0xFFFF,0xFFFF
105,'of Might',0x22,0x783,0x7::(0)[4.6],,,0x2E,0x33,0xA,0xC,,,,0x19,0x1A,,0xFFFF,0xFFFF
106,'of the Ox',0x22,0x784,0x7::(0)[7.10],,,0x2E,0x13,0xA,0xC,,,,0x19,0x1A,,0xFFFF,0xFFFF
107,'of the Ox',0x22,0x784,0x7::(0)[7.10],,,0x33,0xF,0x10,,,,,,,,0xFFFF,0xFFFF
108,'of the Giant',0x22,0x785,0x7::(0)[11.15],,,0x2E,0x13,0xC,,,,,0x19,0x1A,,0xFFFF,0xFFFF
109,'of the Giant',0x22,0x785,0x7::(0)[11.15],,,0xF,0x10,0xA,0x33,,,,,,,0xFFFF,0xFFFF
110,'of the Titan',0x22,0x786,0x7::(0)[16.20],,,0xF,0x13,0xC,,,,,,,,0xFFFF,0xFFFF
111,'of Pacing',0x23,0x787,0x4C::(0)[10],,,0xF,,,,,,,,,,0xFFFF,0xFFFF
112,'of Haste',0x23,0x788,0x4D::(0)[20],,,0xF,,,,,,,,,,0xFFFF,0xFFFF
113,'of Speed',0x23,0x789,0x4E::(0)[30],,,0xF,,,,,,,,,,0xFFFF,0xFFFF
114,'of Health',0x1,0x72D,0x3::(0)[1],,,0x3,0x33,0xA,0xC,0x4B,,,,,,0xFFFF,0xFFFF
115,'of Protection',0x1,0x72E,0x3::(0)[2],,,0xA,0xC,0x4B,,,,,,,,0xFFFF,0xFFFF
116,'of Absorption',0x1,0x72F,0x3::(0)[3],,,0xC,0x4B,,,,,,,,,0xFFFF,0xFFFF
117,'of Life',0x1,0x770,0x3::(0)[4],,,0xC,0x4B,,,,,,,,,0xFFFF,0xFFFF
118,'of Life Everlasting',0x1,0x51C1,0x3::(0)[10.25],,,0xC,0x4B,,,,,,,,,0xFFFF,0xFFFF
119,'of Protection',0x1,0x72E,0x3::(0)[2],,,0x3,0x33,0x4B,,,,,,,,0xFFFF,0xFFFF
120,'of Absorption',0x1,0x72F,0x3::(0)[3],,,0x3,0x33,0x4B,,,,,,,,0xFFFF,0xFFFF
121,'of Life',0x1,0x770,0x3::(0)[4.7],,,0x3,0x33,0x4B,,,,,,,,0xFFFF,0xFFFF
122,'of Anima',0x1,0x51C0,0x3::(0)[8.15],,,0x3,0x33,0x4B,,,,,,,,0xFFFF,0xFFFF
123,'of Warding',0x2,0x730,0x6::(0)[1],,,0x3,0x33,0xA,0xC,0x44,0x4B,,,,,0xFFFF,0xFFFF
124,'of the Sentinel',0x2,0x731,0x6::(0)[2],,,0xA,0xC,0x44,0x4B,,,,,,,0xFFFF,0xFFFF
125,'of Guarding',0x2,0x732,0x6::(0)[3],,,0xC,0x44,0x4B,,,,,,,,0xFFFF,0xFFFF
126,'of Negation',0x2,0x733,0x6::(0)[4.6],,,0xC,0x44,0x4B,,,,,,,,0xFFFF,0xFFFF
127,'of the Sentinel',0x2,0x731,0x6::(0)[2],,,0x3,0x33,0x4B,,,,,,,,0xFFFF,0xFFFF
128,'of Guarding',0x2,0x732,0x6::(0)[3],,,0x3,0x33,0x4B,,,,,,,,0xFFFF,0xFFFF
129,'of Negation',0x2,0x733,0x6::(0)[4.6],,,0x3,0x33,0x4B,,,,,,,,0xFFFF,0xFFFF
130,'of Coolness',0x3,0x51BF,0x2C::(0)[2],,,0x3,0x33,0xF,0x4B,,,,,,,0xFFFF,0xFFFF
131,'of Incombustibility',0x3,0x51BE,0x2C::(0)[3],,,0x3,0x33,0xF,0x4B,,,,,,,0xFFFF,0xFFFF
132,'of Amianthus',0x3,0x51BD,0x2C::(0)[4.5],,,0x3,0x33,0xF,0x4B,,,,,,,0xFFFF,0xFFFF
133,'of Fire Quenching',0x3,0x51BC,0x2C::(0)[6.8],,,0x3,0x33,0xF,0x4B,,,,,,,0xFFFF,0xFFFF
134,'of Coolness',0x3,0x51BF,0x2C::(0)[2],,,0xA,0xC,0x44,0x4B,,,,,,,0xFFFF,0xFFFF
135,'of Incombustibility',0x3,0x51BE,0x2C::(0)[3],,,0xC,0x44,0x4B,,,,,,,,0xFFFF,0xFFFF
136,'of Amianthus',0x3,0x51BD,0x2C::(0)[4.5],,,0xC,0x44,0x4B,,,,,,,,0xFFFF,0xFFFF
137,'of Fire Quenching',0x3,0x51BC,0x2C::(0)[6.8],,,0xC,0x44,0x4B,,,,,,,,0xFFFF,0xFFFF
138,'of Faith',0x3,0x51BB,0x2C::(0)[1.2],,,0x3A,,,,,,,,,,0xFFFF,0xFFFF
139,'of Resistance',0x3,0x51BA,0x2E::(0)[2],,,0x3,0x33,0xF,0x4B,,,,,,,0xFFFF,0xFFFF
140,'of Insulation',0x3,0x51B9,0x2E::(0)[3],,,0x3,0x33,0xF,0x4B,,,,,,,0xFFFF,0xFFFF
141,'of Grounding',0x3,0x51B8,0x2E::(0)[4.5],,,0x3,0x33,0xF,0x4B,,,,,,,0xFFFF,0xFFFF
142,'of the Dynamo',0x3,0x51B7,0x2E::(0)[6.8],,,0x3,0x33,0xF,0x4B,,,,,,,0xFFFF,0xFFFF
143,'of Resistance',0x3,0x51BA,0x2E::(0)[2],,,0xA,0xC,0x44,0x4B,,,,,,,0xFFFF,0xFFFF
144,'of Insulation',0x3,0x51B9,0x2E::(0)[3],,,0xC,0x44,0x4B,,,,,,,,0xFFFF,0xFFFF
145,'of Grounding',0x3,0x51B8,0x2E::(0)[4.5],,,0xC,0x44,0x4B,,,,,,,,0xFFFF,0xFFFF
146,'of the Dynamo',0x3,0x51B7,0x2E::(0)[6.8],,,0xC,0x44,0x4B,,,,,,,,0xFFFF,0xFFFF
147,'of Stoicism',0x3,0x51B6,0x2E::(0)[1.2],,,0x3A,,,,,,,,,,0xFFFF,0xFFFF
148,'of Warming',0x3,0x51B5,0x32::(0)[2],,,0x3,0x33,0xF,0x4B,,,,,,,0xFFFF,0xFFFF
149,'of Thawing',0x3,0x521B,0x32::(0)[3],,,0x3,0x33,0xF,0x4B,,,,,,,0xFFFF,0xFFFF
150,'of the Dunes',0x3,0x521A,0x32::(0)[4.5],,,0x3,0x33,0xF,0x4B,,,,,,,0xFFFF,0xFFFF
151,'of the Sirocco',0x3,0x5219,0x32::(0)[6.8],,,0x3,0x33,0xF,0x4B,,,,,,,0xFFFF,0xFFFF
152,'of Warming',0x3,0x51B5,0x32::(0)[2],,,0xA,0xC,0x44,0x4B,,,,,,,0xFFFF,0xFFFF
153,'of Thawing',0x3,0x521B,0x32::(0)[3],,,0xC,0x44,0x4B,,,,,,,,0xFFFF,0xFFFF
154,'of the Dunes',0x3,0x521A,0x32::(0)[4.5],,,0xC,0x44,0x4B,,,,,,,,0xFFFF,0xFFFF
155,'of the Sirocco',0x3,0x5219,0x32::(0)[6.8],,,0xC,0x44,0x4B,,,,,,,,0xFFFF,0xFFFF
156,'of Desire',0x3,0x5218,0x32::(0)[1.2],,,0x3A,,,,,,,,,,0xFFFF,0xFFFF
157,'of Piercing',0x4,0x734,0x5C::(0)[1],,,0x37,0x20,0x43,,,,,,,,0xFFFF,0xFFFF
158,'of Bashing',0x5,0x735,0x61::(0)[4294967271.4294967256],,,0x39,,,,,,,0x19,0x1A,0x44,0xFFFF,0xFFFF
159,'of Puncturing',0x5,0x736,0x61::(0)[4294967286.4294967276],,,0x21,0x20,0x43,,,,,,,,0xFFFF,0xFFFF
160,'of Thorns',0x6,0x737,0x36::(0)[1.3],,,0x3,0x33,0x13,0x4B,,,,,,,0xFFFF,0xFFFF
161,'of Spikes',0x6,0x738,0x36::(0)[4.6],,,0x3,0x33,0x13,0x4B,,,,,,,0xFFFF,0xFFFF
162,'of Razors',0x6,0x5217,0x36::(0)[7.9],,,0x3,0x33,0x4B,,,,,,,,0xFFFF,0xFFFF
163,'of Swords',0x6,0x5216,0x36::(0)[10.20],,,0x3,0x33,0x4B,,,,,,,,0xFFFF,0xFFFF
164,'of Malice',0x6,0x5215,0x36::(0)[1.5],,,0x3A,,,,,,,,,,0xFFFF,0xFFFF
165,'of Readiness',0x7,0x739,0x37::(0)[10],,,0x2D,,,,,,,0x19,0x44,,0xFFFF,0xFFFF
166,'of Alacrity',0x7,0x73A,0x38::(0)[20],,,0x2D,,,,,,,0x19,0x44,,0xFFFF,0xFFFF
167,'of Swiftness',0x7,0x73B,0x38::(0)[30],,,0x2E,,,,,,,0x19,0x1A,0x44,0xFFFF,0xFFFF
168,'of Quickness',0x7,0x73C,0x39::(0)[40],,,0x2E,,,,,,,0x19,0x1A,0x44,0xFFFF,0xFFFF
169,'of Alacrity',0x7,0x73A,0x38::(0)[20],,,0x10,,,,,,,,,,0xFFFF,0xFFFF
170,'of Fervor',0x7,0x5214,0x37::(0)[15],,,0x3A,,,,,,,,,,0xFFFF,0xFFFF
171,'of Blocking',0x8,0x73D,0x10::(0)[10],0x53::(0)[15],,0x33,,,,,,,,,,0xFFFF,0xFFFF
172,'of Deflecting',0x8,0x73E,0x10::(0)[20],0x53::(0)[30],,0x33,,,,,,,,,,0xFFFF,0xFFFF
173,'of the Apprentice',0x9,0x73F,0x55::(0)[10],,,0x37,0xA,0xC,0x44,0x4B,,,,,,0xFFFF,0xFFFF
174,'of the Magus',0x9,0x740,0x57::(0)[20],,,0x37,0x44,0x4B,,,,,0x18,,,0xFFFF,0xFFFF
175,'of Frost',0xA,0x741,0x11::(0)[1],0x12::(0)[1.2],0x13::(0)[50],0x2D,,,,,,,0x19,0x44,,0xFFFF,0xFFFF
176,'of the Icicle',0xA,0x5213,0x11::(0)[1],0x12::(0)[3.4],0x13::(0)[75],0x2D,,,,,,,0x19,0x44,,0xFFFF,0xFFFF
177,'of the Glacier',0xA,0x742,0x11::(0)[2.4],0x12::(0)[4.15],0x13::(0)[100],0x2D,,,,,,,0x19,0x44,,0xFFFF,0xFFFF
178,'of Winter',0xA,0x5212,0x11::(0)[5.9],0x12::(0)[16.50],0x13::(0)[150],0x2E,,,,,,,0x19,0x44,,0xFFFF,0xFFFF
179,'of Frost',0xA,0x741,0x11::(0)[1],0x12::(0)[3.6],0x13::(0)[50],0x13,0xC,,,,,,,,,0xFFFF,0xFFFF
180,'of Frigidity',0xA,0x5211,0x11::(0)[1],0x12::(0)[3.5],0x13::(0)[50],0x3A,,,,,,,,,,0xFFFF,0xFFFF
181,'of Warmth',0xB,0x743,0x5F::(0)[1],,,0x33,0xF,0x10,0xA,0xC,0x4B,0x44,,,,0xFFFF,0xFFFF
182,'of Flame',0xC,0x744,0x14::(0)[1],0x15::(0)[2.5],,0x2D,,,,,,,0x19,0x44,,0xFFFF,0xFFFF
183,'of Fire',0xC,0x745,0x14::(0)[1.4],0x15::(0)[6.11],,0x2D,,,,,,,0x19,0x44,,0xFFFF,0xFFFF
184,'of Burning',0xC,0x746,0x14::(0)[5.9],0x15::(0)[10.20],,0x2D,,,,,,,0x19,0x44,,0xFFFF,0xFFFF
185,'of Incineration',0xC,0x5210,0x14::(0)[10.20],0x15::(0)[21.75],,0x2E,,,,,,,0x19,0x44,,0xFFFF,0xFFFF
186,'of Flame',0xC,0x744,0x14::(0)[1],0x15::(0)[2.6],,0x10,0xA,0xC,,,,,,,,0xFFFF,0xFFFF
187,'of Passion',0xC,0x520F,0x14::(0)[1.3],0x15::(0)[6.10],,0x3A,,,,,,,,,,0xFFFF,0xFFFF
188,'of Shock',0xD,0x747,0x16::(0)[1],0x17::(0)[6.8],,0x2D,,,,,,,0x19,0x44,,0xFFFF,0xFFFF
189,'of Lightning',0xD,0x748,0x16::(0)[1],0x17::(0)[9.16],,0x2D,,,,,,,0x19,0x44,,0xFFFF,0xFFFF
190,'of Thunder',0xD,0x749,0x16::(0)[1],0x17::(0)[17.40],,0x2D,,,,,,,0x19,0x44,,0xFFFF,0xFFFF
191,'of Storms',0xD,0x520E,0x16::(0)[1.6],0x17::(0)[41.120],,0x2E,,,,,,,0x19,0x44,,0xFFFF,0xFFFF
192,'of Shock',0xD,0x747,0x16::(0)[1],0x17::(0)[11.23],,0xF,0xA,0xC,,,,,,,,0xFFFF,0xFFFF
193,'of Ennui',0xD,0x520D,0x16::(0)[1],0x17::(0)[10.20],,0x3A,,,,,,,,,,0xFFFF,0xFFFF
194,'of Craftsmanship',0xE,0x74A,0x1C::(0)[1],,,0x2D,0xA,0xC,,,,,0x19,0x1A,0x44,0xFFFF,0xFFFF
195,'of Quality',0xE,0x74B,0x1C::(0)[2],,,0x2D,,,,,,,0x19,0x1A,0x44,0xFFFF,0xFFFF
196,'of Maiming',0xE,0x74C,0x1C::(0)[3.4],,,0x2D,,,,,,,0x19,0x1A,0x44,0xFFFF,0xFFFF
197,'of Slaying',0xE,0x74D,0x1C::(0)[5.7],,,0x2D,,,,,,,0x19,0x1A,0x44,0xFFFF,0xFFFF
198,'of Gore',0xE,0x74E,0x1C::(0)[8.10],,,0x2D,,,,,,,0x19,0x1A,0x44,0xFFFF,0xFFFF
199,'of Carnage',0xE,0x74F,0x1C::(0)[11.14],,,0x2D,,,,,,,0x19,0x1A,0x44,0xFFFF,0xFFFF
200,'of Slaughter',0xE,0x750,0x1C::(0)[15.20],,,0x2D,,,,,,,0x19,0x1A,0x44,0xFFFF,0xFFFF
201,'of Butchery',0xE,0x520C,0x1C::(0)[21.40],,,0x2D,,,,,,,0x19,0x1A,0x44,0xFFFF,0xFFFF
202,'of Evisceration',0xE,0x520B,0x1C::(0)[41.63],,,0x2D,,,,,,,0x19,0x1A,0x44,0xFFFF,0xFFFF
203,'of Maiming',0xE,0x74C,0x1C::(0)[3.4],,,0x33,0xA,0xC,,,,,,,,0xFFFF,0xFFFF
204,'of Craftsmanship',0xE,0x74A,0x1C::(0)[1.2],,,0x4B,,,,,,,,,,0xFFFF,0xFFFF
205,'of Craftsmanship',0xE,0x74A,0x1C::(0)[2.3],,,0x4B,,,,,,,,,,0xFFFF,0xFFFF
206,'of Craftsmanship',0xE,0x74A,0x1C::(0)[4.5],,,0x4B,,,,,,,,,,0xFFFF,0xFFFF
207,'of Quality',0xE,0x74B,0x1C::(0)[6.7],,,0x4B,,,,,,,,,,0xFFFF,0xFFFF
208,'of Quality',0xE,0x74B,0x1C::(0)[7.8],,,0x4B,,,,,,,,,,0xFFFF,0xFFFF
209,'of Maiming',0xE,0x74C,0x1C::(0)[9.10],,,0x4B,,,,,,,,,,0xFFFF,0xFFFF
210,'of Maiming',0xE,0x74C,0x1C::(0)[11.12],,,0x4B,,,,,,,,,,0xFFFF,0xFFFF
211,'of Craftsmanship',0xE,0x74A,0x1C::(0)[1],,,0x53,,,,,,,,,,0xFFFF,0xFFFF
